flight_id,scheduled_departure,departure_airport,arrival_airport,aircraft_code,flight_duration_minutes,total_seats,economy_seats_cnt,business_seats_cnt,total_tickets,economy_tickets_cnt,business_tickets_cnt,total_amount,economy_tickets_amount,business_tickets_amount
136119,2017-01-03T10:05:00Z,AAQ,SVO,733,101.0,130,118,12,113,102,11,1653000.00,1250400.00,402600.00
136120,2017-02-24T10:05:00Z,AAQ,SVO,733,99.0,130,118,12,109,98,11,1605400.00,1202800.00,402600.00
136122,2017-01-08T10:05:00Z,AAQ,SVO,733,100.0,130,118,12,97,87,10,1431000.00,1065000.00,366000.00
136130,2017-02-13T10:05:00Z,AAQ,SVO,733,99.0,130,118,12,107,97,10,1556600.00,1190600.00,366000.00
136131,2017-01-28T10:05:00Z,AAQ,SVO,733,99.0,130,118,12,124,112,12,1812800.00,1373600.00,439200.00
136132,2017-02-15T10:05:00Z,AAQ,SVO,733,99.0,130,118,12,116,104,12,1714000.00,1274800.00,439200.00
136135,2017-02-01T10:05:00Z,AAQ,SVO,733,100.0,130,118,12,115,104,11,1678600.00,1276000.00,402600.00
136146,2017-02-09T10:05:00Z,AAQ,SVO,733,100.0,130,118,12,109,98,11,1604200.00,1201600.00,402600.00
136159,2017-01-04T10:05:00Z,AAQ,SVO,733,98.0,130,118,12,115,103,12,1700600.00,1261400.00,439200.00
136164,2017-01-07T10:05:00Z,AAQ,SVO,733,99.0,130,118,12,120,109,11,1738400.00,1335800.00,402600.00
136165,2017-02-22T10:05:00Z,AAQ,SVO,733,101.0,130,118,12,110,101,9,1567600.00,1238200.00,329400.00
136172,2017-01-15T10:05:00Z,AAQ,SVO,733,99.0,130,118,12,110,99,11,1617600.00,1215000.00,402600.00
136178,2017-01-29T10:05:00Z,AAQ,SVO,733,99.0,130,118,12,99,90,9,1434600.00,1105200.00,329400.00
136181,2017-01-31T10:05:00Z,AAQ,SVO,733,99.0,130,118,12,118,108,10,1689600.00,1323600.00,366000.00
136185,2017-01-14T10:05:00Z,AAQ,SVO,733,103.0,130,118,12,104,94,10,1520000.00,1154000.00,366000.00
136202,2017-01-05T10:05:00Z,AAQ,SVO,733,102.0,130,118,12,100,89,11,1495600.00,1093000.00,402600.00
136204,2017-02-23T10:05:00Z,AAQ,SVO,733,100.0,130,118,12,107,101,6,1457800.00,1238200.00,219600.00
136209,2017-01-06T10:05:00Z,AAQ,SVO,733,100.0,130,118,12,112,102,10,1615200.00,1249200.00,366000.00
136215,2017-02-28T10:05:00Z,AAQ,SVO,733,100.0,130,118,12,114,103,11,1664000.00,1261400.00,402600.00
136226,2017-01-30T10:05:00Z,AAQ,SVO,733,100.0,130,118,12,130,118,12,1886000.00,1446800.00,439200.00
136249,2017-02-14T10:05:00Z,AAQ,SVO,733,98.0,130,118,12,123,111,12,1800600.00,1361400.00,439200.00
136250,2017-02-08T10:05:00Z,AAQ,SVO,733,101.0,130,118,12,99,91,8,1407800.00,1115000.00,292800.00
136264,2017-02-18T10:05:00Z,AAQ,SVO,733,100.0,130,118,12,116,105,11,1690800.00,1288200.00,402600.00
136266,2017-02-27T10:05:00Z,AAQ,SVO,733,100.0,130,118,12,108,98,10,1566400.00,1200400.00,366000.00
136268,2017-02-16T10:05:00Z,AAQ,SVO,733,101.0,130,118,12,115,104,11,1676200.00,1273600.00,402600.00
136269,2017-02-11T10:05:00Z,AAQ,SVO,733,100.0,130,118,12,109,98,11,1605400.00,1202800.00,402600.00
136270,2017-02-12T10:05:00Z,AAQ,SVO,733,99.0,130,118,12,111,100,11,1628600.00,1226000.00,402600.00
136275,2017-01-13T10:05:00Z,AAQ,SVO,733,98.0,130,118,12,125,113,12,1825000.00,1385800.00,439200.00
136282,2017-01-16T10:05:00Z,AAQ,SVO,733,101.0,130,118,12,106,97,9,1518800.00,1189400.00,329400.00
136284,2017-02-07T10:05:00Z,AAQ,SVO,733,101.0,130,118,12,117,107,10,1677400.00,1311400.00,366000.00
136293,2017-01-23T10:05:00Z,AAQ,SVO,733,99.0,130,118,12,114,102,12,1689600.00,1250400.00,439200.00
136310,2017-01-22T10:05:00Z,AAQ,SVO,733,100.0,130,118,12,117,108,9,1654200.00,1324800.00,329400.00
136316,2017-01-12T10:05:00Z,AAQ,SVO,733,100.0,130,118,12,130,118,12,1886000.00,1446800.00,439200.00
136320,2017-02-19T10:05:00Z,AAQ,SVO,733,100.0,130,118,12,106,96,10,1544400.00,1178400.00,366000.00
136322,2017-02-06T10:05:00Z,AAQ,SVO,733,101.0,130,118,12,108,98,10,1567600.00,1201600.00,366000.00
136345,2017-01-24T10:05:00Z,AAQ,SVO,733,100.0,130,118,12,108,100,8,1517600.00,1224800.00,292800.00
136348,2017-02-10T10:05:00Z,AAQ,SVO,733,100.0,130,118,12,120,108,12,1762800.00,1323600.00,439200.00
136351,2017-02-26T10:05:00Z,AAQ,SVO,733,100.0,130,118,12,105,94,11,1555400.00,1152800.00,402600.00
136360,2017-02-05T10:05:00Z,AAQ,SVO,733,100.0,130,118,12,97,86,11,1455400.00,1052800.00,402600.00
136366,2017-01-11T10:05:00Z,AAQ,SVO,733,99.0,130,118,12,103,92,11,1527400.00,1124800.00,402600.00
136383,2017-01-25T10:05:00Z,AAQ,SVO,733,102.0,130,118,12,106,98,8,1493200.00,1200400.00,292800.00
136387,2017-01-19T10:05:00Z,AAQ,SVO,733,99.0,130,118,12,121,109,12,1775000.00,1335800.00,439200.00
136389,2017-01-18T10:05:00Z,AAQ,SVO,733,100.0,130,118,12,129,117,12,1873800.00,1434600.00,439200.00
136403,2017-02-20T10:05:00Z,AAQ,SVO,733,100.0,130,118,12,129,117,12,1873800.00,1434600.00,439200.00
136411,2017-02-04T10:05:00Z,AAQ,SVO,733,100.0,130,118,12,110,100,10,1590800.00,1224800.00,366000.00
136420,2017-01-01T10:05:00Z,AAQ,SVO,733,98.0,130,118,12,104,93,11,1542000.00,1139400.00,402600.00
136423,2017-01-10T10:05:00Z,AAQ,SVO,733,100.0,130,118,12,129,118,11,1849400.00,1446800.00,402600.00
136428,2017-01-21T10:05:00Z,AAQ,SVO,733,99.0,130,118,12,115,104,11,1678600.00,1276000.00,402600.00
136436,2017-01-26T10:05:00Z,AAQ,SVO,733,99.0,130,118,12,124,112,12,1811600.00,1372400.00,439200.00
136439,2017-02-25T10:05:00Z,AAQ,SVO,733,100.0,130,118,12,117,106,11,1701800.00,1299200.00,402600.00
136441,2017-02-03T10:05:00Z,AAQ,SVO,733,100.0,130,118,12,128,117,11,1837200.00,1434600.00,402600.00
136452,2017-02-17T10:05:00Z,AAQ,SVO,733,100.0,130,118,12,109,98,11,1603000.00,1200400.00,402600.00
136458,2017-01-02T10:05:00Z,AAQ,SVO,733,99.0,130,118,12,110,101,9,1568800.00,1239400.00,329400.00
136463,2017-01-20T10:05:00Z,AAQ,SVO,733,99.0,130,118,12,122,110,12,1788400.00,1349200.00,439200.00
136464,2017-01-09T10:05:00Z,AAQ,SVO,733,100.0,130,118,12,100,93,7,1398000.00,1141800.00,256200.00
136471,2017-01-17T10:05:00Z,AAQ,SVO,733,100.0,130,118,12,120,108,12,1762800.00,1323600.00,439200.00
136479,2017-02-21T10:05:00Z,AAQ,SVO,733,99.0,130,118,12,122,112,10,1738400.00,1372400.00,366000.00
136485,2017-01-27T10:05:00Z,AAQ,SVO,733,100.0,130,118,12,106,97,9,1520000.00,1190600.00,329400.00
136486,2017-02-02T10:05:00Z,AAQ,SVO,733,101.0,130,118,12,107,99,8,1505400.00,1212600.00,292800.00
136511,2017-02-21T06:10:00Z,AAQ,NOZ,733,310.0,130,118,12,0,0,0,0,0,0
136513,2017-02-28T06:10:00Z,AAQ,NOZ,733,310.0,130,118,12,0,0,0,0,0,0
136514,2017-02-07T06:10:00Z,AAQ,NOZ,733,299.0,130,118,12,0,0,0,0,0,0
136523,2017-01-10T06:10:00Z,AAQ,NOZ,733,312.0,130,118,12,0,0,0,0,0,0
136540,2017-01-17T06:10:00Z,AAQ,NOZ,733,307.0,130,118,12,0,0,0,0,0,0
136544,2017-01-31T06:10:00Z,AAQ,NOZ,733,304.0,130,118,12,0,0,0,0,0,0
136546,2017-01-03T06:10:00Z,AAQ,NOZ,733,302.0,130,118,12,0,0,0,0,0,0
136560,2017-01-24T06:10:00Z,AAQ,NOZ,733,305.0,130,118,12,0,0,0,0,0,0
136567,2017-02-14T06:10:00Z,AAQ,NOZ,733,311.0,130,118,12,0,0,0,0,0,0
136571,2017-01-25T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,95,83,12,752700.00,525900.00,226800.00
136586,2017-01-10T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,96,84,12,759000.00,532200.00,226800.00
136600,2017-02-08T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,97,85,12,765300.00,538500.00,226800.00
136605,2017-02-15T09:25:00Z,AAQ,EGO,SU9,51.0,97,85,12,97,85,12,765300.00,538500.00,226800.00
136609,2017-01-08T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,81,71,10,639300.00,450300.00,189000.00
136612,2017-02-21T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,94,82,12,746400.00,519600.00,226800.00
136620,2017-02-17T09:25:00Z,AAQ,EGO,SU9,49.0,97,85,12,79,70,9,613500.00,443400.00,170100.00
136630,2017-02-25T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,94,82,12,746400.00,519600.00,226800.00
136632,2017-01-07T09:25:00Z,AAQ,EGO,SU9,51.0,97,85,12,91,80,11,714300.00,506400.00,207900.00
136642,2017-01-30T09:25:00Z,AAQ,EGO,SU9,49.0,97,85,12,64,54,10,531000.00,342000.00,189000.00
136645,2017-01-05T09:25:00Z,AAQ,EGO,SU9,51.0,97,85,12,82,73,9,633000.00,462900.00,170100.00
136649,2017-01-18T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,96,84,12,759000.00,532200.00,226800.00
136654,2017-01-19T09:25:00Z,AAQ,EGO,SU9,49.0,97,85,12,96,84,12,759000.00,532200.00,226800.00
136660,2017-02-20T09:25:00Z,AAQ,EGO,SU9,49.0,97,85,12,87,77,10,677100.00,488100.00,189000.00
136661,2017-01-01T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,96,84,12,759000.00,532200.00,226800.00
136666,2017-02-09T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,87,78,9,664500.00,494400.00,170100.00
136669,2017-01-17T09:25:00Z,AAQ,EGO,SU9,51.0,97,85,12,95,83,12,752700.00,525900.00,226800.00
136672,2017-02-03T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,96,84,12,759000.00,532200.00,226800.00
136678,2017-01-28T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,80,70,10,631200.00,442200.00,189000.00
136706,2017-01-06T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,95,84,11,740100.00,532200.00,207900.00
136709,2017-01-15T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,87,76,11,689700.00,481800.00,207900.00
136720,2017-01-26T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,95,83,12,752700.00,525900.00,226800.00
136729,2017-01-29T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,88,77,11,695400.00,487500.00,207900.00
136733,2017-01-09T09:25:00Z,AAQ,EGO,SU9,51.0,97,85,12,94,82,12,746400.00,519600.00,226800.00
136754,2017-02-06T09:25:00Z,AAQ,EGO,SU9,49.0,97,85,12,90,78,12,721200.00,494400.00,226800.00
136755,2017-01-21T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,97,85,12,765300.00,538500.00,226800.00
136757,2017-01-27T09:25:00Z,AAQ,EGO,SU9,49.0,97,85,12,97,85,12,765300.00,538500.00,226800.00
136758,2017-01-12T09:25:00Z,AAQ,EGO,SU9,49.0,97,85,12,97,85,12,765300.00,538500.00,226800.00
136767,2017-01-23T09:25:00Z,AAQ,EGO,SU9,51.0,97,85,12,83,73,10,651300.00,462300.00,189000.00
136769,2017-02-10T09:25:00Z,AAQ,EGO,SU9,51.0,97,85,12,88,77,11,696000.00,488100.00,207900.00
136778,2017-02-22T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,96,84,12,759000.00,532200.00,226800.00
136780,2017-02-24T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,89,77,12,714900.00,488100.00,226800.00
136781,2017-01-14T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,97,85,12,765300.00,538500.00,226800.00
136802,2017-02-26T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,96,85,11,746400.00,538500.00,207900.00
136807,2017-02-23T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,68,60,8,531000.00,379800.00,151200.00
136815,2017-02-19T09:25:00Z,AAQ,EGO,SU9,51.0,97,85,12,97,85,12,765300.00,538500.00,226800.00
136819,2017-01-04T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,96,84,12,759000.00,532200.00,226800.00
136823,2017-02-05T09:25:00Z,AAQ,EGO,SU9,51.0,97,85,12,78,68,10,620400.00,431400.00,189000.00
136827,2017-02-18T09:25:00Z,AAQ,EGO,SU9,51.0,97,85,12,97,85,12,765300.00,538500.00,226800.00
136838,2017-01-24T09:25:00Z,AAQ,EGO,SU9,51.0,97,85,12,86,76,10,670200.00,481200.00,189000.00
136841,2017-02-07T09:25:00Z,AAQ,EGO,SU9,51.0,97,85,12,97,85,12,765300.00,538500.00,226800.00
136844,2017-02-28T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,79,73,6,575100.00,461700.00,113400.00
136855,2017-01-11T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,87,75,12,702300.00,475500.00,226800.00
136857,2017-02-13T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,97,85,12,765300.00,538500.00,226800.00
136861,2017-02-12T09:25:00Z,AAQ,EGO,SU9,49.0,97,85,12,87,76,11,689100.00,481200.00,207900.00
136869,2017-01-31T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,97,85,12,765300.00,538500.00,226800.00
136871,2017-01-13T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,97,85,12,765300.00,538500.00,226800.00
136875,2017-02-16T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,97,85,12,765300.00,538500.00,226800.00
136887,2017-01-20T09:25:00Z,AAQ,EGO,SU9,49.0,97,85,12,78,70,8,595200.00,444000.00,151200.00
136888,2017-02-14T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,79,69,10,626100.00,437100.00,189000.00
136900,2017-02-01T09:25:00Z,AAQ,EGO,SU9,51.0,97,85,12,97,85,12,765300.00,538500.00,226800.00
136907,2017-01-16T09:25:00Z,AAQ,EGO,SU9,51.0,97,85,12,96,84,12,759000.00,532200.00,226800.00
136922,2017-02-11T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,76,66,10,607800.00,418800.00,189000.00
136927,2017-01-22T09:25:00Z,AAQ,EGO,SU9,51.0,97,85,12,97,85,12,765300.00,538500.00,226800.00
136936,2017-01-02T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,82,73,9,632400.00,462300.00,170100.00
136937,2017-01-03T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,81,72,9,626100.00,456000.00,170100.00
136951,2017-02-02T09:25:00Z,AAQ,EGO,SU9,49.0,97,85,12,90,78,12,720600.00,493800.00,226800.00
136953,2017-02-27T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,97,85,12,765300.00,538500.00,226800.00
136956,2017-02-04T09:25:00Z,AAQ,EGO,SU9,50.0,97,85,12,96,85,11,746400.00,538500.00,207900.00
